symbol,type,entry_date,exit_date,entry_price,exit_price,shares,profit,exit_reason
CME,short,2025-03-04,2025-03-17 00:00:00,251.98,263.58,20,-232.0,L 2 S
CME,short,2025-03-21,2025-04-03 00:00:00,263.35,268.36,19,-95.19,L 2 S
CTSH,long,2025-04-09,2025-05-05 00:00:00,72.89,77.91,69,346.38,BE L
CTSH,short,2025-05-13,2025-05-23 00:00:00,81.27,79.12,62,133.3,BE S
COIN,long,2025-04-09,2025-04-24 00:00:00,177.09,203.87,28,749.84,BE L
CL,long,2025-05-06,2025-05-30 00:00:00,91.0,92.94,55,106.7,BE L
CMCSA,short,2025-04-01,2025-04-03 00:00:00,36.72,35.72,136,136.0,BE S
CMCSA,long,2025-04-09,2025-05-16 00:00:00,35.18,35.48,142,42.6,Target L
CAG,short,2025-03-04,2025-04-03 00:00:00,25.47,26.78,196,-256.76,L 2 S
CAG,long,2025-04-29,2025-06-13 00:00:00,24.34,21.57,205,-567.85,S 2 L
COP,long,2025-04-09,2025-05-05 00:00:00,91.51,87.61,55,-214.5,S 2 L
COP,short,2025-06-23,2025-07-08 00:00:00,91.71,95.79,55,-224.4,L 2 S
ED,short,2025-04-04,2025-04-07 00:00:00,109.32,105.4,46,180.32,BE S
STZ,short,2025-04-02,2025-04-04 00:00:00,182.73,173.86,27,239.49,BE S
COO,long,2025-04-09,2025-05-12 00:00:00,77.9,84.44,64,418.56,BE L
GLW,short,2025-05-14,2025-06-23 00:00:00,47.01,51.8,106,-507.74,L 2 S
CPAY,long,2025-04-09,2025-05-13 00:00:00,321.87,354.82,16,527.2,Target L
CTVA,long,2025-04-09,2025-05-08 00:00:00,58.56,66.86,85,705.5,BE L
CSGP,short,2025-04-28,2025-04-30 00:00:00,81.74,74.17,61,461.77,BE S
CTRA,long,2025-02-28,2025-03-17 00:00:00,26.99,28.16,185,216.45,BE L
CCI,short,2025-04-04,2025-04-08 00:00:00,100.98,94.83,50,307.5,BE S
CSX,long,2025-04-09,2025-05-12 00:00:00,28.66,30.31,174,287.1,Target L
CSX,short,2025-06-20,2025-07-01 00:00:00,32.06,33.47,156,-219.96,L 2 S
CMI,long,2025-04-09,2025-05-12 00:00:00,296.55,330.59,17,578.68,Gap out L
DHR,long,2025-04-09,2025-04-22 00:00:00,191.89,192.07,26,4.68,Gap out L
DRI,long,2025-04-09,2025-05-15 00:00:00,196.35,209.0,25,316.25,Target L
DRI,short,2025-06-18,2025-07-10 00:00:00,222.75,212.88,22,217.14,BE S
DVA,short,2025-03-28,2025-04-17 00:00:00,150.22,140.03,33,336.27,Target S
DVA,long,2025-06-03,2025-06-10 00:00:00,135.99,139.11,37,115.44,BE L
DAY,long,2025-04-09,2025-05-07 00:00:00,56.22,54.44,89,-158.42,S 2 L
DAY,short,2025-06-09,2025-06-13 00:00:00,59.16,57.08,85,176.8,BE S
DAY,long,2025-06-30,2025-07-03 00:00:00,55.39,57.27,90,169.2,BE L
DECK,long,2025-04-09,2025-04-15 00:00:00,116.06,104.18,43,-510.84,Hard Stop S
DE,long,2025-04-09,2025-05-08 00:00:00,452.59,489.99,11,411.4,BE L
DELL,long,2025-04-07,2025-04-14 00:00:00,75.0,85.19,67,682.73,Gap out L
DAL,short,2025-06-11,2025-06-13 00:00:00,49.17,47.04,102,217.26,Gap out S
DAL,long,2025-06-23,2025-07-03 00:00:00,48.25,50.86,104,271.44,BE L
DVN,long,2025-04-09,2025-04-10 00:00:00,31.07,27.75,161,-534.52,Hard Stop S
DVN,short,2025-06-23,2025-07-08 00:00:00,32.83,34.92,152,-317.68,L 2 S
DXCM,long,2025-04-09,2025-05-02 00:00:00,66.84,81.62,75,1108.5,Gap out L
FANG,long,2025-04-09,2025-05-06 00:00:00,134.93,131.98,37,-109.15,S 2 L
